op_index,op,class,decisive_note
0,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
1,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
2,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
3,cast,missing,no H13 encoder for 'cast': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
4,expand_dims,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
5,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
6,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
7,reduce_sum,missing,x dtype int32 (int32 mask math) — fp16-only stream; reduce_min additionally has no encoding at all (normEncoding covers softmax/layer_norm/reduce_sum/reduce_max/reduce_mean)
8,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
9,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
10,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
11,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
12,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
13,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
14,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
15,conv,missing-envelope,"surface ((1, 3000, 128) -> (256, 1500, 64)) absent from kConvTasks (175 decoded geometries; max spatial 64x64, max C 1024 at 16x16); pad_type 'custom' pad=[1, 1, 1, 1] k=3 s=2 g=1"
16,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
17,add,missing,int32 arithmetic: H13 stream is fp16-only (tensorElementCount/fp16Tensor gate; no int32 encoder)
18,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
19,add,missing,int32 arithmetic: H13 stream is fp16-only (tensorElementCount/fp16Tensor gate; no int32 encoder)
20,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
21,sub,missing,int32 arithmetic: H13 stream is fp16-only (tensorElementCount/fp16Tensor gate; no int32 encoder)
22,floor_div,missing,no H13 encoder for 'floor_div': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
23,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
24,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
25,cast,missing,no H13 encoder for 'cast': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
26,add,normalization-needed,scalar fold exists only for mul; re-spelling the rank-0 const as a rank-1 [1] tensor enables the whole-tensor fold path for add/sub
27,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
28,expand_dims,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
29,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
30,less,missing,no H13 encoder for 'less': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
31,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
32,expand_dims,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
33,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
34,expand_dims,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
35,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
36,cast,missing,no H13 encoder for 'cast': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
37,mul,missing-envelope,"runtime broadcast x=(1, 256, 1500, 64) y=(1, 1, 1500, 1) has no template in kBroadcastTasks (largest decoded spatial 32x32)"
38,relu,direct,"relu handler rewrites to maximum(x, zero-splat); folded binary path lowers at any static fp16 shape (ANEH13Compiler.mm:1486-1510, 1096-1171)"
39,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
40,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
41,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
42,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
43,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
44,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
45,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
46,conv,missing-envelope,"surface ((256, 1500, 64) -> (256, 750, 32)) absent from kConvTasks (175 decoded geometries; max spatial 64x64, max C 1024 at 16x16); pad_type 'custom' pad=[1, 1, 1, 1] k=3 s=2 g=256"
47,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
48,add,normalization-needed,scalar fold exists only for mul; re-spelling the rank-0 const as a rank-1 [1] tensor enables the whole-tensor fold path for add/sub
49,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
50,add,normalization-needed,scalar fold exists only for mul; re-spelling the rank-0 const as a rank-1 [1] tensor enables the whole-tensor fold path for add/sub
51,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
52,sub,normalization-needed,scalar fold exists only for mul; re-spelling the rank-0 const as a rank-1 [1] tensor enables the whole-tensor fold path for add/sub
53,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
54,floor_div,missing,no H13 encoder for 'floor_div': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
55,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
56,add,normalization-needed,scalar fold exists only for mul; re-spelling the rank-0 const as a rank-1 [1] tensor enables the whole-tensor fold path for add/sub
57,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
58,expand_dims,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
59,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
60,less,missing,no H13 encoder for 'less': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
61,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
62,expand_dims,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
63,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
64,expand_dims,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
65,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
66,cast,missing,no H13 encoder for 'cast': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
67,mul,missing-envelope,"runtime broadcast x=(1, 256, 750, 32) y=(1, 1, 750, 1) has no template in kBroadcastTasks (largest decoded spatial 32x32)"
68,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
69,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
70,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
71,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
72,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
73,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
74,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
75,conv,missing-envelope,"surface ((256, 750, 32) -> (256, 750, 32)) absent from kConvTasks (175 decoded geometries; max spatial 64x64, max C 1024 at 16x16); pad_type 'valid' pad=[0, 0, 0, 0] k=1 s=1 g=1"
76,mul,missing-envelope,"runtime broadcast x=(1, 256, 750, 32) y=(1, 1, 750, 1) has no template in kBroadcastTasks (largest decoded spatial 32x32)"
77,relu,direct,"relu handler rewrites to maximum(x, zero-splat); folded binary path lowers at any static fp16 shape (ANEH13Compiler.mm:1486-1510, 1096-1171)"
78,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
79,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
80,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
81,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
82,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
83,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
84,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
85,conv,missing-envelope,"surface ((256, 750, 32) -> (256, 375, 16)) absent from kConvTasks (175 decoded geometries; max spatial 64x64, max C 1024 at 16x16); pad_type 'custom' pad=[1, 1, 1, 1] k=3 s=2 g=256"
86,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
87,add,normalization-needed,scalar fold exists only for mul; re-spelling the rank-0 const as a rank-1 [1] tensor enables the whole-tensor fold path for add/sub
88,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
89,add,normalization-needed,scalar fold exists only for mul; re-spelling the rank-0 const as a rank-1 [1] tensor enables the whole-tensor fold path for add/sub
90,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
91,sub,normalization-needed,scalar fold exists only for mul; re-spelling the rank-0 const as a rank-1 [1] tensor enables the whole-tensor fold path for add/sub
92,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
93,floor_div,missing,no H13 encoder for 'floor_div': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
94,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
95,add,normalization-needed,scalar fold exists only for mul; re-spelling the rank-0 const as a rank-1 [1] tensor enables the whole-tensor fold path for add/sub
96,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
97,expand_dims,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
98,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
99,less,missing,no H13 encoder for 'less': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
100,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
101,expand_dims,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
102,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
103,expand_dims,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
104,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
105,cast,missing,no H13 encoder for 'cast': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
106,mul,missing-envelope,"runtime broadcast x=(1, 256, 375, 16) y=(1, 1, 375, 1) has no template in kBroadcastTasks (largest decoded spatial 32x32)"
107,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
108,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
109,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
110,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
111,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
112,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
113,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
114,conv,missing-envelope,"surface ((256, 375, 16) -> (256, 375, 16)) absent from kConvTasks (175 decoded geometries; max spatial 64x64, max C 1024 at 16x16); pad_type 'valid' pad=[0, 0, 0, 0] k=1 s=1 g=1"
115,mul,missing-envelope,"runtime broadcast x=(1, 256, 375, 16) y=(1, 1, 375, 1) has no template in kBroadcastTasks (largest decoded spatial 32x32)"
116,relu,direct,"relu handler rewrites to maximum(x, zero-splat); folded binary path lowers at any static fp16 shape (ANEH13Compiler.mm:1486-1510, 1096-1171)"
117,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
118,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
119,transpose,missing,no H13 encoder for 'transpose': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
120,reshape,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
121,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
122,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
123,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
124,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
125,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
126,cast,missing,no H13 encoder for 'cast': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
127,add,normalization-needed,scalar fold exists only for mul; re-spelling the rank-0 const as a rank-1 [1] tensor enables the whole-tensor fold path for add/sub
128,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
129,mul,direct,"inline fp16 scalar mul fold (splat constant, 64-element slices)"
